ID,SubCat1_ID,Subcatagoria2
381,44,Exfoliantes y Tratamientos Corporales
382,44,Juegos y Kits
383,44,Labios
384,44,Manos y Pies
385,44,Maternidad
386,44,Ojos
387,44,Sol
388,44,otros
389,45,Accesorios para Peinarse
390,45,Aceites para el Cabello
391,45,Champu y Acondicionador
392,45,"Extensiones de Cabello, Pelucas y Accesorios"
393,45,Herramientas de Peinado
394,45,Instrumentos para Corte de Pelo
395,45,Mascarillas para el Cabello
396,45,Permanentes y Texturizantes para el Cabello
397,45,Productos para la Caida del Cabello
398,45,Productos para Peinar
399,45,Set de Viaje
400,45,Sets y Kits
401,45,Tintes para el Cabello
402,45,Tratamientos de Cuero Cabelludo
403,45,Otros
404,46,Bolsas y Cajas de Herramientas
405,46,Calentadores de Toallas para Spa
406,46,Capas
407,46,Carritos de Mantenimiento
408,46,Casco Secador
409,46,Cepillos de Cuello
410,46,Escobas y Cepillos
411,46,Espejos de Mano
412,46,Frascos Atomizadores
413,46,Lavabos de Peluqueria
414,46,Maniquies de Aprendizaje
415,46,Maquinas Galvanicas
416,46,Maquinas de Alta Frecuencia
417,46,Mesas de Spa
418,46,Sillas de Barbero
419,46,Sistemas de Almacenamiento para Spa
420,46,Taburetes de Salon y Spa
421,46,Otros
422,47,Cuidado de las Manos y los Pies
423,47,Disenhos para Unhas
424,47,Quitaesmalte
425,47,Tratamientos para Unhas
426,47,Utensilios y Accesorios
427,47,Otros
428,48,Aceite Esencial de Rosa
429,48,Atomizadores
430,48,Hombres
431,48,Infantiles
432,48,Mujeres
433,48,Perfumes Solidos
434,48,Polvos con Fragancia
435,48,Sets
436,48,Velas y Esencias para el Hogar
437,48,Otros
438,49,Accesorios
439,49,Antes de Rasurarse y Depilarse
440,49,Depilacion
441,49,Despues de Rasurarse y Depilarse
442,49,Rasurado Manual
443,49,Rasuradoras Electricas
444,49,Recortadoras y Rasuradoras Corporales
445,49,Tijeras
446,49,Otros
447,50,Atomizadores
448,50,Bolitas y Almohadillas de Algodon
449,50,Bolsas y Estuches
450,50,Contenedores Rellenables
451,50,Herramientas para el Cuidado de la Piel
452,50,Kits de Belleza
453,50,Suministros para Piercings y Tatuajes
454,50,Utensilios y Accesorios para Maquillaje
455,50,Otros
456,51,Otros
457,52,Artes marciales mixtas
458,52,Bolsas para Equipo
459,52,Chandales
460,52,Equipo de Entrenamiento
461,52,Exhibidores para Cinturones
462,52,Jiu-jitsu
463,52,Judo
464,52,Karate
465,52,Kendo
466,52,Kickboxing
467,52,Kung Fu
468,52,Ninjutsu
469,52,Protecciones
470,52,Taekwondo
471,52,Otros
472,53,Accesorios para celulares
473,53,Basquetbol
474,53,Beisbol
475,53,Bocinas de aire para estadio
476,53,Electronica
477,53,Equipo para deporte
478,53,Futbol
479,53,Futbol Americano
480,53,Herramientas y mejoras del hogar
481,53,Hockey sobre Hielo
482,53,Joyeria y Relojes
483,53,Juguetes y Productos de Sala de Juegos
484,53,Memorabilia
485,53,"Patio, cesped y jardin"
486,53,Productos de oficina
487,53,Productos para el Hogar
488,53,Otros
489,54,Equipo para Competencias
490,54,Equipo para Lanzamientos
491,54,Equipo para Saltos
492,54,Equipo para la Pista
493,54,Tenis
494,54,Carritos para Equipos
495,54,Otros
496,55,Bolsas para Equipo
497,55,Gallitos
498,55,Juegos Completos
499,55,Raquetas
500,55,Redes
501,55,Otros
502,56,Accesorios de Cancha
503,56,Accesorios para Tablero
504,56,Balones
505,56,Bolsas para Equipo
506,56,Equipo de Entrenamiento
507,56,Equipo Protector
508,56,Mangas para tirador
509,56,Tableros
510,56,Tenis
511,56,Otros
512,57,Accesorios
513,57,Accesorios para Bates
514,57,Accesorios para Manoplas
515,57,Bates
516,57,Bolsas para Equipo
517,57,Equipo de Arbitros
518,57,Equipo de Entrenamiento
519,57,Equipo para el Campo
520,57,Equipo para Principiantes
521,57,Guantes de Bateo
522,57,Manoplas y Manoplas
523,57,Pelotas
524,57,Protecciones
525,57,Zapatos
526,57,Otros
527,58,Accesorios
528,58,Bolas de Billar
529,58,Estuches para Tacos
530,58,Fundas para Mesas de Billar
531,58,Tacos
532,58,Taqueras
533,58,Triangulos y Estantes para Bolas
534,58,Otros
535,59,Bolas
536,59,Bolsas
537,59,Guantes
538,59,Juegos de Boliche
539,59,Pinos
540,59,Protecciones
541,59,Pulidores para Bolas
542,59,Zapatos
543,59,Otros
544,60,Accesorios para Costales
545,60,Costales
546,60,Equipo de Gimnasio
547,60,Guantes
548,60,Juegos de Box
549,60,Paos de boxeo
550,60,Patas de oso
551,60,Protecciones
552,60,Otros
553,61,Accesorios para Mochilas
554,61,Accesorios para Tiendas de Campanha
555,61,Arrancadores de fuego
556,61,Bastones de Senderismo
557,61,Bolsas de Acampar
558,61,"Bolsas, paquetes y accesorios"
559,61,Calentadores de Pies y Manos
560,61,Cocina
561,61,Cuidado Personal
562,61,Equipo para Dormir de Campismo
563,61,GPS y Navegacion
564,61,Hidratacion
565,61,Luces y Lamparas
566,61,Mobiliario de Campismo
567,61,Mochilas y Bolsas
568,61,"Navajas, Cuchillos y Herramientas"
569,61,Seguridad y Supervivencia
570,61,Tiendas de Campanha
571,61,Tiendas Refugio
572,61,Otros
573,62,Accesorios
574,62,Bicicletas
575,62,Bicicletas Infantiles y Accesorios
576,62,Calzado
577,62,Cascos y Accesorios
578,62,Componentes y Refacciones
579,62,Herramientas y Equipo para Bicicleta
580,62,Lentes
581,62,Luces y Reflectores
582,62,Protecciones
583,62,Ropa
584,62,Otros
585,63,Canhas
586,63,Dardos
587,63,Dardos de Acero
588,63,Dardos de Plastico
589,63,Dianas
590,63,Gabinetes
591,63,Plumas
592,63,Puntas
593,63,Tableros
594,63,Otros
595,64,Buceo y Esnorquel
596,64,Canotaje
597,64,Esqui Acuatico y Deportes de Arrastre
598,64,Kayak
599,64,Kitesurf
600,64,Natacion
601,64,Nautica
602,64,Remo
603,64,Ropa
604,64,Surf
605,64,Surf a Vela
606,64,Surf de Remo
607,64,Vela
608,64,Wakeboard
609,64,Otros
610,65,Esqui
611,65,Hockey sobre Hielo
612,65,Motos de Nieve
613,65,Patinaje sobre Hielo
614,65,Patinetas para nieve
615,65,Snowboard
616,65,Snowboarding
617,65,Otros
618,66,Accesorios para el Caballo
619,66,Arreos
620,66,Cascos
621,66,Equipo para Dirigir al Caballo
622,66,Fuetes y Cuartas
623,66,Guantes de Equitacion
624,66,Protecciones
625,66,Otros
626,67,Accesorios
627,67,Accesorios para Maquinas de Acondicionamiento Fisico
628,67,Electronica
629,67,Entrenadores de Equilibrio
630,67,Entrenamiento de velocidad y agilidad
631,67,Equipo de Acondicionamiento Fisico Acuatico
632,67,Equipo de Desarrollo de Fuerza
633,67,Maquinas de Cardio
634,67,Pilates
635,67,Ropa
636,67,Yoga
637,67,Otros
638,68,Accesorios para Dispositivos
639,68,Altimetros
640,68,Brujulas
641,68,Camaras de Accion y Accesorios
642,68,Ciclocomputadoras
643,68,Cronometros
644,68,Dispositivos GPS
645,68,Estaciones Meteorologicas Portatiles
646,68,Monitores de Actividad
647,68,Podometros
648,68,Pulsometros
649,68,Telemetros de Golf
650,68,Velocimetros
651,68,Otros
652,69,Arneses
653,69,Bolsas de Magnesio
654,69,Cascos
655,69,Cuerdas y Correas
656,69,Guantes de Escalada
657,69,Herrajes para Escalada
658,69,Magnesio
659,69,Mosquetones
660,69,Pies de Gato
661,69,Presas de Escalada
662,69,Slacklines
663,69,Otros
664,70,Albumes de Tarjetas
665,70,Cajas para Tarjetas
666,70,Fundas para Tarjetas
667,70,Tornillos de Ajuste de Tarjetas
668,70,Vitrinas de objetos de recuerdo deportivos
669,70,Otros
670,71,Balones
671,71,Bolsas para Equipo
672,71,Bolsos y redes para pelotas
673,71,Equipo para Entrenar y Jugar
674,71,Espinilleras
675,71,Guantes de Portero
676,71,Porterias
677,71,Redes
678,71,otros
679,72,Balones
680,72,Bolsas para Equipo
681,72,Cascos
682,72,Cinturones de Banderines de Futbol
683,72,Equipo de Entrenamiento
684,72,Equipo de Proteccion
685,72,Guantes
686,72,Guantes de Receptor
687,72,Haches
688,72,Marcadores de Yardas
689,72,Ropa
690,72,Soportes y Tes para Patada
691,72,Uniformes
692,72,Zapatos
693,72,otros
694,73,Agarres de Mano
695,73,Bolsas para Equipo
696,73,Equipo de Competencia
697,73,Equipo de Entrenamiento
698,73,Magnesio
699,73,Ropa
700,73,Tapetes y Colchonetas
701,73,otros
702,74,Accesorios
703,74,Accesorios para Bolsas de Palos
704,74,Accesorios para Carritos de Golf
705,74,Accesorios para el Campo
706,74,Bolas
707,74,Bolsas de Palos
708,74,Calzado
709,74,Equipo de Entrenamiento
710,74,Guantes
711,74,Palos
712,74,Piezas para Palos
713,74,otros
714,75,Cilindros de Hule Espuma
715,75,Paramedico y Medicina Deportiva
716,75,Protectores Bucales
717,75,Suplementos para Deportistas
718,75,"Tirantes, Ferulas y Soportes"
719,75,Tratamientos de Frio y Calor
720,75,otros
721,76,Accesorios
722,76,Bolsas para Equipo
723,76,Cascos
724,76,Cera
725,76,Herramientas
726,76,Patinetas y Patinetas Giratorias
727,76,Piezas de Patinetas
728,76,Protecciones
729,76,Rampas y Rieles
730,76,otros
731,77,Cascos
732,77,Partes para Patines en Linea
733,77,Patines en Linea
734,77,Patines en Paralelo
735,77,Piezas para Patines en Paralelo
736,77,Protecciones
737,77,otros
738,78,Accesorios
739,78,Monopatines autoequilibrantes
740,78,Patines del Diablo
741,78,Piezas de Patines del Diablo
742,78,otros
743,79,Aparejos del Lider
744,79,Combos de Canha y Carrete
745,79,Patos
746,79,Pesca con Mosca
747,79,Pesca en Hielo
748,79,Sedales
749,79,Senhuelos y Moscas
750,79,Accesorios
751,79,Anzuelos y Accesorios
752,79,Aparejo y Accesorios de Terminal
753,79,Calzado
754,79,Carretes y accesorios
755,79,Herramientas
756,79,Varillas y accesorios
757,79,otros
758,80,Accesorios
759,80,Bolsas para Equipo
760,80,Gomas
761,80,Juegos de Ping Pong
762,80,Mesas
763,80,Pelotas
764,80,Raquetas
765,80,otros
766,81,Accesorios
767,81,Antivibradores
768,81,Bolsas para Equipo
769,81,Cordajes
770,81,Equipo de Entrenamiento
771,81,Mangos de Raquetas
772,81,Maquinas de Pelotas
773,81,Maquinas y Herramientas de Encordado
774,81,Pelotas
775,81,Raquetas
776,81,Recogepelotas
777,81,Redes
778,81,otros
779,82,Arcos
780,82,Botones de Boca
781,82,Carcajes
782,82,Cuerdas de Arco
783,82,Dactileras
784,82,Dianas
785,82,Disparadores
786,82,Dragoneras
787,82,Estabilizadores
788,82,Estuches de Arco
789,82,Flechas y Saetas
790,82,Mantenimiento del Arco
791,82,Miras
792,82,Montadores
793,82,Nocks
794,82,Plumas para Flechas
795,82,Protecciones
796,82,Reposaflechas
797,82,otros
798,83,Balones
799,83,Bolsas para Equipo
800,83,Juegos de Postes
801,83,Redes
802,83,otros
803,84,otros
804,85,Accesorios
805,85,Radio Casetes
806,85,Radios y DAB
807,85,Receptores de Onda Corta
808,85,Reproductores de MP3 y Medios Digitales
809,85,Reproductores Personales de Casete
810,85,Reproductores Personales de CD
811,85,Reproductores Portatiles de DVD y Blu-ray
812,85,otros
813,86,Accesorios
814,86,"Binoculares, Telescopios y Optica"
815,86,Camaras Analogicas
816,86,Camaras de Accion
817,86,Camaras de Vigilancia
818,86,Camaras Digitales
819,86,Camaras Montadas en el Cuerpo
820,86,Camaras Simuladas
821,86,Drones y Accesorios
822,86,Escaneres de Peliculas y Diapositivas
823,86,Flashes
824,86,Fotografia y Video Subacuatico
825,86,Impresoras de Fotos
826,86,Lentes
827,86,Marcos Digitales
828,86,Proyectores de Diapositivas
829,86,Proyectores de Video
830,86,Tripodes y Monopies
831,86,Videocamaras
832,86,Videocamaras Profesionales
833,86,otros
834,87,Accesorios
835,87,Banda Ancha Movil
836,87,Celulares y Smartphones de Prepago
837,87,Celulares y Smartphones Desbloqueados
838,87,Relojes inteligentes
839,87,otros
840,88,Accesorios
841,88,Almacenamiento de Datos
842,88,Bocinas de Computadora
843,88,Bolsas Mensajeras y al Hombro para Tablet
844,88,Bolsas Mensajeras y Bolsas al Hombro para Laptop
845,88,Componentes
846,88,Componentes de Laptop
847,88,Componentes Externos
848,88,Computadoras de Escritorio
849,88,Dispositivos para Redes
850,88,Equipo para Camara y VoIP
851,88,Escaneres
852,88,Impresoras
853,88,Laptops
854,88,Mochilas para Laptop
855,88,Monitores
856,88,PC Semiensamblada
857,88,Portafolios para Laptop
858,88,Servidores
859,88,Tablets
860,88,otros
861,89,Accesorios
862,89,Electronica de Autos
863,89,Electronica de Motocicletas
864,89,Electronica Marina
865,89,GPS
866,89,otros
867,90,Accesorios
868,90,Apuntadores
869,90,Basculas para Correo
870,90,Cartuchos de Tinta de Inyeccion
871,90,Cartuchos de Tinta de Sublimacion
872,90,Cartuchos de Toner
873,90,"Diccionarios Electronicos, Tesauros y Traductores"
874,90,Enmicadoras
875,90,Escaneres de Codigos de Barras
876,90,Escaners
877,90,Faxes
878,90,Fotocopiadoras
879,90,Grabadoras de Voz y Accesorios
880,90,Impresoras
881,90,Kits y Recargas de Tinta para Inyeccion de Tinta
882,90,Proyectores
883,90,Recargas y Kits de Tinta de Sublimacion
884,90,Rotuladoras
885,90,Trituradoras de Papel y Documentos
886,90,otros
887,91,Accesorios
888,91,Bocinas
889,91,Dispositivos para Video En Tiempo Real
890,91,Minicomponentes
891,91,Radios y Grabadoras
892,91,Receptores y Componentes
893,91,otros
894,92,Adaptadores de Corriente
895,92,Calcomanias Decorativas
896,92,Cubiertas
897,92,Fundas Blandas
898,92,Lectores de Libros Electronicos
899,92,Lotes
900,92,Protectores de Pantalla
901,92,Soportes
902,92,otros
903,93,Dispositivos GPS deportivos
904,93,GPS Marinos
905,93,GPS RV
906,93,Localizadores GPS
907,93,Sistemas de Navegacion para Camion
908,93,Sistemas de Navegacion para Coche
909,93,Sistemas de Navegacion para Motocicleta
910,93,otros
911,94,Accesorios
912,94,Equipos Transmisores-receptores
913,94,Escaneres de Radio
914,94,Radios Marinos
915,94,otros
916,95,Accesorios
917,95,Bocinas
918,95,Combos TV-DVD
919,95,Decodificadores
920,95,Dispositivos para Streaming
921,95,Equipos de Home Theater
922,95,Equipos de TV Por Satelite
923,95,Equipos satelitales
924,95,Lentes de Video Virtual
925,95,Parabolicas
926,95,Proyectores
927,95,Receptores AV y Amplificadores
928,95,Reproductores y Grabadoras de Blu-ray
929,95,Reproductores y Grabadoras de DVD
930,95,Televisiones
931,95,otros
932,96,Accesorios
933,96,Contestadoras
934,96,Telefonos Analogicos y DECT
935,96,Telefonos Compatibles Con VoIP y Skype
936,96,otros
937,97,Adaptadores de CA
938,97,Adaptadores Internacionales
939,97,Cables de Extension
940,97,Protectores de Sobretension
941,97,Transformadores
942,97,otros
943,98,Adaptadores
944,98,Almohadillas
945,98,Amplificadores
946,98,Audifonos
947,98,Estuches
948,98,Extensiones
949,98,Ganchos de Almacenamiento
950,98,Soportes
951,98,otros
952,99,Adaptadores de Pilas
953,99,Cargadores de Pilas
